proteinA	proteinB
mukE	glcC
murE	glcC
murI	glcC
priC	glcC
ptsI	glcC
ptsN	glcC
ptsP	glcC
recJ	glcC
rnk	glcC
rpoE	glcC
treR	glcC
ubiG	glcC
uvrB	glcC
vsr	glcC
xerC	glcC
xerD	glcC
yaiA	glcC
ybcY	glcC
ybgF	glcC
ybjM	glcC
ycbG	glcC
ycbW	glcC
ycdC	glcC
ydjQ	glcC
yedS	glcC
yeiC	glcC
yeiW	glcC
yfbP	glcC
yfcN	glcC
ygfB	glcC
ygiT	glcC
yiaJ	glcC
yibT	glcC
yjjK	glcC
yqeI	glcC
yrdD	glcC
groL	glf
tdcD	glf
groL	glgA
pncB	glgC
ptsG	glk
tufB	glmM
yjhG	glmM
glmU	glmU
pta	glmU
groL	glnA
glnB	glnB
glnB	glnD
glnL	glnD
glnB	glnE
evgA	glnG
glnG	glnG
glnL	glnG
ydcP	glnH
glnB	glnK
glnD	glnK
glnK	glnK
murD	glnK
amtB	glnL
glnB	glnL
glnK	glnL
glnL	glnL
yjgD	glnL
dnaK	glnQ
glnQ	glnQ
rbsA	glnQ
lpxD	glnS
dnaK	gloA
birA	glpB
ybdL	glpB
uvrB	glpC
citD	glpD
groL	glpE
crr	glpK
srlB	glpK
flgK	glpQ
glyQ	glpQ
ttdA	glpR
lolD	glpX
dsbG	gltA
gltA	gltA
yegS	gltA
gltD	gltB
gltI	gltI
gltI	gltL
glyS	glyQ
lldD	glyQ
tufB	glyQ
yabP	glyQ
yfcN	glyQ
glyQ	glyS
groL	glyS
ppk	gmhB
gnd	gnd
gnsA	gnsA
fecB	gnsB
nirB	gntY
nadE	gor
dnaN	gph
flgH	gph
glpQ	gph
rpsS	gph
ubiE	gph
ugpQ	gph
yggH	gph
gpmA	gpmI
gpsA	gpsA
yqiA	gpsA
blc	gpt
dnaN	groL
groL	groL
groS	groL
holA	groL
tufB	groL
clpB	grpE
dnaK	grpE
flgK	grpE
groL	grpE
holA	grpE
rpsG	grpE
thiG	grpE
yieN	grpE
grxA	grxC
map	gshB
nadE	gshB
gsk	gsk
tnaA	gsk
ybhK	gsk
groL	gspA
rplB	gspE
dkgB	gss
fixB	gss
rho	gss
oppA	guaA
pepP	guaC
fliG	gyrA
gyrA	gyrA
groL	hcaE
asnC	hchA
clpA	hchA
groL	hchA
tnaA	hchA
tufB	hchA
fdhF	hcp
hcp	hcp
hydN	hcr
moaE	hcr
ybdM	hcr
ydcY	hcr
yffB	hcr
ytfQ	hcr
ada	hda
dnaN	hda
hda	hda
pbpG	hda
astE	hdfR
sgbE	hdfR
cyaA	helD
groL	helD
pepB	helD
tufB	helD
ydiB	hemE
htpG	hemF
nadE	hemF
hemA	hemL
fnr	hepA
rpoB	hepA
rpoD	hepA
hns	hha
hinT	hinT
ycgE	hipA
apaH	hisB
hisB	hisB
yliJ	hisB
groL	hisH
groL	hisP
ompA	hlpA
hlyE	hlyE
hns	hns
nrdB	hns
dnaN	holA
NoData	holA
uvrB	holA
yecG	holA
yqjH	holA
cysJ	holB
dnaE	holB
dnaQ	holB
dnaX	holB
holA	holB
holC	holB
holD	holB
secA	holB
ybbN	holB
yneG	holB
blr	holC
dnaX	holC
glnD	holC
holA	holC
holC	holC
holD	holC
secA	holC
dnaX	holD
holA	holD
holC	holD
secA	holD
accA	holE
dnaQ	holE
cheY	hpt
aceF	hrpA
maeB	hrpA
polA	hrpA
rpsG	hrpA
aceF	hrpB
dnaK	hrpB
fdx	hscA
ftsZ	hscA
hscB	hscA
iscA	hscA
iscU	hscA
iscU	hscB
speA	hscB
yijO	hscC
ung	hsdM
tufB	hslO
hslR	hslR
rpsB	hslR
ydhA	hslR
hslU	hslU
hslV	hslU
hslV	hslV
dnaK	htpG
htpG	htpG
rpoC	htpG
leuS	htrE
ybhK	htrE
hupA	hupB
hyaD	hyaA
hyaD	hyaB
hybO	hyaB
yhhI	hyaB
htrE	hyaD
hyaB	hyaD
hyaD	hyaD
ileS	hyaD
leuS	hyaD
ligA	hyaD
rbsB	hyaD
topA	hyaD
ybhK	hyaD
ydbD	hyaD
yhgG	hyaD
yjgL	hyaD
arsR	hyaF
hyaA	hyaF
fklB	hybA
frlC	hybA
hypC	hybG
hypD	hybG
bolA	hybO
citB	hybO
citC	hybO
glyQ	hybO
hcr	hybO
hybE	hybO
mhpF	hybO
napD	hybO
trxA	hybO
yggW	hybO
yjfN	hybO
hybG	hycE
hycI	hycE
hypE	hycE
trxA	hycF
hycG	hycG
metN	hycG
mntR	hycG
yraM	hycG
aceE	hycI
cysM	hydN
fklB	hydN
galE	hydN
groL	hydN
hcaD	hydN
insO	hydN
mhpB	hydN
sgbE	hydN
speA	hydN
ybdH	hydN
ybdM	hydN
yggW	hydN
murE	hyfB
ychJ	hyfB
groL	hyfG
ybdK	hypA
hycE	hypC
groL	hypD
hybG	hypD
hypE	hypD
tufB	hypD
hypE	hypE
hypE	hypF
ibpB	ibpA
ibpB	ibpB
aceK	icd
aceF	iclR
iclR	iclR
lpd	idnD
groL	idnR
ybhK	idnT
fis	ihfB
tufB	ileS
ilvB	ilvB
lpxK	ilvB
metN	ilvD
ilvH	ilvH
groL	ilvI
ilvH	ilvI
ilvI	ilvI
leuB	ilvI
rimM	ilvI
ilvB	ilvM
ilvB	ilvN
citE	ilvY
cyaA	ilvY
priC	ilvY
yadE	ilvY
dnaJ	imp
rlpB	imp
yaeP	inaA
frdA	insL
asr	insM
astE	insM
bolA	insM
citB	insM
citE	insM
citX	insM
clpA	insM
entB	insM
eptB	insM
eutA	insM
fdx	insM
fecB	insM
fliG	insM
fliM	insM
fliT	insM
fsaB	insM
gcvR	insM
grxA	insM
gutQ	insM
hcr	insM
hda	insM
hpt	insM
hslR	insM
hupB	insM
hybG	insM
hyfR	insM
lsrG	insM
malT	insM
mhpF	insM
moaD	insM
mukE	insM
nadA	insM
NoData	insM
nrdH	insM
pheS	insM
pncB	insM
ptsN	insM
recD	insM
recJ	insM
rimM	insM
rnk	insM
rpoD	insM
rpoE	insM
sgcA	insM
uvrB	insM
yaiA	insM
yaiE	insM
yaiI	insM
ybdL	insM
ybdZ	insM
yceP	insM
ydcJ	insM
yecI	insM
yedD	insM
yedJ	insM
yeeW	insM
yehI	insM
yfdM	insM
yffB	insM
yiaJ	insM
yibT	insM
yjgZ	insM
yrbB	insM
clpA	insN
moaD	insN
pheS	insN
recD	insN
yaiE	insN
ybjN	insN
ycbW	insN
ydcJ	insN
yecI	insN
aceF	intA
ebgA	intA
treC	intD
holC	intE
xseA	intQ
rspA	intR
aceF	intS
iscR	iscR
fdx	iscS
iscU	iscS
yhhH	iscS
yhhP	iscS
iscU	iscU
eutQ	ispA
flxA	ispA
ispA	ispA
purT	ispA
rplB	ispB
glmS	ispE
rfaD	ispF
dnaK	ispH
ybbL	ispH
katE	katE
murE	katG
rplL	kbaY
kbl	kbl
kdgK	kdgK
menD	kdgK
topA	kdgK
yebV	kdgR
kdpD	kdpD
creB	kdpE
kdpD	kdpE
pepB	kdsB
tufB	kdsB
araG	kefF
ptsP	kefG
lacI	lacI
glcB	lacY
groL	lacY
lacI	lacZ
malE	lamB
secA	lamB
secB	lamB
tolA	lamB
tolB	lamB
lepB	lepB
groL	leuA
leuB	leuB
leuD	leuC
leuC	leuD
leuD	leuD
talB	leuD
ligA	leuS
topA	leuS
chbR	lexA
lexA	lexA
rhaR	lexA
rhaS	lexA
rpoD	lexA
rpsE	lexA
ydaW	lexA
ydfT	lexA
ypdC	lexA
htrE	ligA
ileS	ligA
ligA	ligA
rbsB	ligA
rdgC	ligA
topA	ligA
ybhK	ligA
yjgL	ligA
lipA	lipA
yheS	lipA
puuR	livF
yfgL	lldD
pykA	lnt
lpp	lolA
lolD	lolC
arcB	lolD
groL	lolD
narP	lolD
priC	lolD
ung	lolD
ycbG	lolD
lolD	lolE
ycdP	lon
aceF	lpd
sucB	lpd
uvrD	lpd
ybaK	lpd
lpp	lpp
lpxB	lpxA
tufB	lpxB
ftsB	lpxC
murD	lpxC
cbpA	lpxD
csdA	lpxD
dnaJ	lpxD
ligA	lpxD
rplO	lpxD
rpsG	lpxD
ydfR	lpxD
citE	lrp
glpG	lrp
msrA	lrp
rnk	lrp
yciW	lrp
NoData	lsrF
putP	lsrF
nadE	lsrG
nadE	ltaE
dnaK	luxS
uup	lysS
holA	macA
topA	macA
cca	maeB
nadE	maeB
nrdA	maeB
groL	malE
narL	malE
secB	malE
tar	malE
malE	malF
malK	malF
malE	malG
malF	malG
malK	malG
plsB	malI
rpoE	malI
secM	malI
crr	malK
malT	malK
aceF	malP
malP	malP
pnp	malP
polA	malP
topA	malP
uvrD	malP
crp	malT
groL	malT
hslR	malT
malT	malT
pyrC	malT
rbsA	malT
tufB	malT
pykA	malX
malT	malY
hchA	malZ
minC	manA
cytR	manX
manX	manX
groL	mazG
mcrB	mcrB
mcrB	mcrC
ycdP	mdh
yliL	mdh
plsB	mdoH
fsaB	mdtE
hcr	mdtE
hpt	mdtE
yicC	mdtL
aes	melA
yfgB	melB
crp	melR
evgA	melR
fldA	melR
mioC	melR
rpoA	melR
rpoD	melR
uvrB	melR
menB	menB
rfaD	menB
menD	menD
groL	metA
nadE	metB
groL	metE
uvrD	metE
fdx	metH
groL	metK
tig	metK
artP	metN
cysK	metN
dsdA	metN
entA	metN
entE	metN
frc	metN
gadB	metN
gatZ	metN
glxR	metN
gnsA	metN
grxA	metN
gshA	metN
hisF	metN
hycG	metN
hyi	metN
hypF	metN
JW0653	metN
mhpF	metN
mmuM	metN
mntR	metN
ppx	metN
rfbB	metN
rnk	metN
sufD	metN
sufS	metN
tag	metN
tufB	metN
uvrD	metN
yaiA	metN
ybdL	metN
ydcY	metN
ydiF	metN
ydjH	metN
yegL	metN
yehT	metN
yfdZ	metN
yfeR	metN
yffB	metN
yjeO	metN
yjhC	metN
ymfB	metN
ypdE	metN
yrdD	metN
araG	metQ
dnaK	metQ
yfaY	metQ
pheT	mfd
cysM	mglA
hyfR	mglA
moaD	mglA
sgbE	mglA
yffI	mglA
yggW	mglA
groL	mglB
mhpF	mhpE
fruR	miaA
mraW	miaA
accD	minC
argK	minC
cchB	minC
citB	minC
citE	minC
cmk	minC
ftsZ	minC
gcvH	minC
holA	minC
hslR	minC
hypF	minC
mhpF	minC
minC	minC
minD	minC
sgcA	minC
yaiA	minC
yaiI	minC
ybcY	minC
yfcN	minC
yihL	minC
yrdD	minC
cyaY	minE
minD	minE
trxB	minE
yccX	minE
yiiS	minE
ymfH	minE
yfjK	mioC
yebC	mlrA
bglG	mltB
gcvR	mltB
sgcA	mltB
ydaG	mltB
ymcB	mltB
ymfM	mltB
sspA	mngA
hycG	mntR
mntR	mntR
yjhC	mntR
groL	moaA
rpsG	moaA
tufB	moaA
rplA	moaC
moeB	moaD
moaD	moaE
moaE	moaE
mobB	mobA
moeA	mobA
narG	mobA
